№ п/п,Регион,Полигон,ID Объекта,Отсутствие ванн для дезинфекции колес ,Выход полигона за границы кадастрового участка,Расположение объекта на расстоянии менее 15 км от действующего аэродрома,Не выполняется пересыпка тела полигона,"Отсутствие КПП, ворот или шлагбаума ",Отсутствие ограждения по периметру полигона ,Отсутствие весового контроля ,Наличие тлений и возгораний на теле полигона,Заболачивание и подтопление полигона ,Отсутствие обводных каналов ,Выход фильтрата за границы отведенного земельного участка,"Размещение фракций, не относящихся к ТКО",Разлет фракций на прилегающие территории ,Нарушение санитарно - защитной зоны,Координаты,Спутниковое изображение
191,Кировская область,Полигон твердых бытовых отходов (1 очередь) пгт Богородское,449,да,нет,нет,нет,да,да,нет,нет,нет,нет ,нет,нет,нет,нет,"57.849293, 50.780692",0
192,Кировская область,Полигон ТБО г. Вятские Поляны,450,да,да,нет,да,да,да,нет,нет,нет,нет ,да,да,нет,нет,"nan, nan",0
193,Кировская область,Полигон ТБО в Просницком СП урочище Шиляево Кирово-Чепецкого района,451,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,да,нет,нет,нет,"58.465314, 50.165617",0
194,Кировская область,Полигон ТБО п. Пасегово Белохолуницкого района,452,да,да,нет,да,нет,да,нет,нет,нет,да,да,да,да,нет,"nan, nan",0
195,Кировская область,Полигон ТБО для пгт Оричи,453,нет,нет,да,да,нет,нет,нет,нет,да,нет ,да,да,нет,нет,"nan, nan",0
196,Кировская область,Полигон твердых бытовых отходов (г. Яранск),454,нет,да,нет,да,да,да,нет,нет,нет,да,нет,нет,нет,да,"nan, nan",0
197,Кировская область,Полигон ПО И ТБО г. Зуевка,455,нет,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,"58.3784, 51.197249",0
198,Пензенская область,Полигон для хранения твердых бытовых отходов,483,нет,да,нет,да,да,да,нет,нет,нет,да,да,нет,да,нет,"nan, nan",0
172,Новосибирская область,Полигон ТБО Карасукский район г. Карасук,484,да,да,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,"nan, nan",0
173,Новосибирская область,"Полигон ТБО Черепановский район, г. Черепаново",485,нет,нет,нет,нет,нет,нет,нет,нет,да,да,да,нет,нет,да,"nan, nan",0
174,Новосибирская область,Полигон ТБО Краснозерский район р.п. Краснозерское,486,да,нет,нет,нет,да,нет,да,да,нет,да,нет,нет,нет,нет,"nan, nan",0
175,Новосибирская область,Полигон ТБО в р.п.Чистоозерное Чистоозерный район р.п. Чистоозерное Новосибирской области,487,нет,да,нет,да,нет,нет,нет,нет,нет,да,нет,нет,нет,нет,"nan, nan",0
176,Новосибирская область,"Полигон захоронения твердых коммунальных отходов Болотнинский район, г. Болотное",488,да,да,нет,нет,да,да,да,да,нет,нет,да,да,да,нет,"nan, nan",0
177,Новосибирская область,"Полигон захоронения твердых коммунальных отходов Искитимский район, р.п. Линево",489,да,да,нет,нет,нет,да,да,да,да,да,да,нет,нет,нет,"nan, nan",0
178,Новосибирская область,Полигон захоронения твердых коммунальных отходов Коченевский район с. Прокудское,490,да,да,да,нет,да,да,нет,нет,нет,да,да,нет,да,да,"nan, nan",0
179,Новосибирская область,"Полигон ""Левобережный"" Новосибирский район, Верх-Тулинский с\с",491,нет,нет,да,нет,нет,да,нет,нет,да,да,да,нет,нет,да,"nan, nan",0
180,Новосибирская область,"Объект ""Гусинобродский"" г. Новосибирск",492,нет,да,да,нет,нет,да,нет,нет,нет,нет,да,нет,нет,да,"nan, nan",0
181,Новосибирская область,"объект Колыванский район, р.п. Колывань",493,да,да,нет,да,да,да,да,нет,нет,да,да,да,нет,да,"nan, nan",0
182,Новосибирская область,"объект ""Каргатский район г. Каргат""",494,да,да,нет,да,да,да,да,да,нет,да,да,нет,нет,нет,"nan, nan",0
183,Новосибирская область,Полигон ТБО г. Искитим,495,нет,да,нет,да,да,да,нет,нет,нет,да,да,нет,да,нет,"nan, nan",0
184,Новосибирская область,"Полигон захоронения твердых коммунальных отходов Куйбышевский район, г.Куйбышев",496,да,да,нет,да,да,да,да,да,нет,да,да,нет,да,нет,"nan, nan",0
185,Новосибирская область,Полигон ТКО Тогучинский район р.п. Горный,497,да,да,нет,да,да,да,да,да,нет,да,нет,нет,нет,да,"nan, nan",0
186,Новосибирская область,Полигон ТБО г. Бердск,498,да,нет,нет,да,да,да,да,нет,нет,да,да,нет,нет,да,"nan, nan",0
307,Республика Хакасия,Полигон ТБО Абакан-Черногорского промузла,500,нет,да,да,да,нет,да,нет,нет,нет,нет,нет,нет,нет,нет,"nan, nan",0
317,Омская область,Свалка,578,да,да,нет,да,да,да,да,да,да,да,да,да,да,нет,"57.713366, 71.129802",0
320,Омская область,Свалка ТКО,581,да,да,нет,да,да,да,да,да,да,да,нет,да,да,да,"57.109447, 73.819904",0
305,Костромская область,Объект размещения твёрдых отходов «Каменка»,600,да,да,нет,нет,да,да,да,нет,да,нет,нет,нет,нет,да,"57.469783, 40.623711",0
306,Костромская область,Полигон захоронения ТКО МУП «Волгореченское ПАТП»,601,да,нет,нет,нет,нет,да,да,да,нет,да,нет,да,нет,нет,"57.414828, 41.235143",0
254,Астраханская область,Полигон ТБО,605,нет,да,нет,нет,нет,да,нет,нет,нет,да,нет,нет,нет,нет,"46.53823, 47.89017",0
239,Чеченская Республика,"Полигон с. Алхазурово, Урус-Мартановского района",606,да,да,нет,да,нет,да,да,да,нет,да,нет,да,да,да,"43.085261, 45.664304",0
238,Чеченская Республика,"Полигон с. Гойты, Урус-Мартановского района",607,да,да,нет,да,нет,да,нет,нет,нет,да,нет,да,нет,нет,"43.153866, 45.66575",0
234,Чеченская Республика,"олигон «Андреевская долина» ГУП ""Управление жилищно-коммунальных услуг», г. Грозный",608,да,да,да,да,да,да,да,нет,нет,да,да,да,нет,нет,"43.318323, 45.607016",0
235,Чеченская Республика,"Полигон «Андреевская долина» МУП Вторсырье,
 г. Грозный",609,да,да,да,нет,нет,да,да,нет,нет,нет,да,нет,нет,да,"43.308419, 45.60626",0
236,Чеченская Республика,Полигон г. Гудермес,610,да,да,нет,да,нет,да,нет,нет,нет,да,да,нет,да,да,"43.393598, 46.107552",0
240,Чеченская Республика,"Полигон с. Шатой, Шатойского района",611,да,да,нет,да,нет,нет,нет,нет,нет,да,нет,нет,да,нет,"42.920106, 45.715926",0
237,Чеченская Республика,"Полигон с.Новое Солкушино, Наурского района",612,нет,нет,нет,да,нет,нет,да,нет,нет,нет,нет,нет,да,да,"43.570729, 45.690414",0
233,Республика Ингушетия,Полигон с.п. Нестеровское,613,да,да,да,да,да,да,нет,да,нет,да,да,да,да,да,"43.283234, 45.092902",0
241,Кабардино-Балкарская Республика,Полигон ТКО Урванского района,614,нет,да,да,нет,нет,да,нет,нет,нет,да,да,нет,да,нет,"43.506816, 43.792586",0
244,Карачаево-Черкесская Республика,Полигон ТКО,615,нет,нет,нет,нет,нет,нет,нет,нет,да,нет,нет,нет,да,да,"44.218616, 42.093445",0
243,Карачаево-Черкесская Республика,Полигон ТБО,616,да,да,нет,да,нет,да,нет,нет,нет,да,нет,нет,да,нет,"44.115902, 42.053197",0
242,Республика Северная Осетия- Алания,Полигон ТКО,617,да,да,да,да,нет,да,нет,нет,нет,да,нет,нет,да,да,"43.712712, 44.702688",0
232,Республика Дагестан,Полигон ООО «Грин Тау»,618,нет,да,нет,да,да,да,нет,нет,нет,да,да,да,да,да,"42.567485, 47.839735",0
231,Республика Дагестан,Полигон МУП «САХ»,619,да,нет,нет,да,да,да,да,да,да,да,да,нет ,да,да,"43.816729, 46.673686",0
250,Самарская область,Полигон ТБО р.ц. Кинель-Черкассы,621,да,да,нет,да,нет,нет,нет,нет,нет,да,да,нет,да,нет,"53.497408, 51.412886",0
